1;M2025;Activaci¢n Drawback para impulsar exportaciones.;R0101;;;5;51;11;4;7;3;5;1;2;1;2;2;6;0
2;M11006;Aplicaci¢n de beneficios de la ley artesanal vigente.;R0664;;;2;34;4;3;22;2;2;2;2;1;2;2;6;
3;M7001;M s porcentaje de ingreso en las farmacias (al menos 20% producci¢n nacional en las farmacias).;R0370;;;1;50;4;2;23;4;1;3;2;1;2;2;6;
4;M17039;Bajar los costos de energ¡a en el sector productivo.;R1360;;;4;28;4;3;17;3;2;4;2;1;2;2;6;
5;M7002;Cosm‚ticos: Contrabando e informalidad.;R0376;;;1;59;13;3;23;3;1;5;2;1;2;2;6;
6;M17034;Crear ley de emprendimiento y re emprendimiento;R1351;;;3;31;4;3;17;3;3;6;2;1;2;2;6;
7;M12001;Crear un Plan Nacional de Exportaciones conjuntamente entre el sector p£blico y sector privado.;R0753;;;1;40;5;4;9;3;1;6;2;1;2;2;6;
8;M12022;Crear laboratorios de certificaci¢n acreditados que verifiquen la normativa principalmente de productos importados.;R0780;;;3;32;8;1;9;4;3;6;2;1;2;2;6;
9;M20B001;Eliminar el recargo del 35% en el contrato eventual de trabajo.;R1579;;;2;1;7;3;15;4;2;7;2;1;2;2;6;
10;M16A055;Establecer alianzas y encadenamientos productivos incluyendo la EPS: incentivos, capacitaci¢n, financiamiento y asistencia t‚cnica.;R1181;;;4;8;11;5;25;1;2;8;2;1;2;2;6;
11;M6016;"Tasas de Inter‚s justas para Artesanos y Econom¡a Popular y Solidaria.
";R0350;;;5;16;2;5;12;2;4;8;2;1;2;2;6;
12;M16A017;Establecer una contrataci¢n flexible por horas.;R1135;;;2;1;7;1;25;3;2;8;2;1;2;2;6;
13;M17040;"
Establecer mecanismos de financiamiento: 1) mercados de valores 
2) leasing 
3) factoring perfeccionado 
4) capital de riesgo.";R1362;;;4;16;2;5;17;3;4;9;2;1;2;2;6;
14;M14A023;"Facilitar el acceso e informaci¢n de cr‚dito para peque¤os productores. 
-Simplificaci¢n de tr mites.
-Mayor presencia en territorio.
-Buen uso del cr‚dito.
-Mejorar el trato y acercamiento hacia la producci¢n.";R0957;;;4;57;13;3;8;1;4;9;2;1;2;2;6;
15;M5013;"Crear un Big Data que permita tener acceso a informaci¢n veraz, convalidado con el sector privado.
";R0253;;;3;13;4;4;18;3;3;10;2;1;2;2;6;
16;M3010;Generar agenda de innovaci¢n, calidad y emprendimiento que contemple instrumentos de asociatividad, considerando, el fomento de las APPs y con la academia y dar prioridad al uso de producci¢n nacional en la construcci¢n.;R0128;;;3;15;4;4;11;3;3;11;2;1;2;2;6;
